3,1,1117.00,961.00,14.00,38.00,1,-1,-1,-1
3,2,1256.00,950.00,15.00,45.00,1,-1,-1,-1
3,3,910.00,949.00,35.00,152.00,1,-1,-1,-1
3,4,742.00,957.00,24.00,87.00,1,-1,-1,-1
3,5,468.00,948.00,10.00,49.00,1,-1,-1,-1
3,6,46.00,949.00,7.00,25.00,1,-1,-1,-1
3,7,63.00,947.00,9.00,27.00,1,-1,-1,-1
3,8,31.00,949.00,10.00,25.00,1,-1,-1,-1
3,9,3585.94,948.00,47.10,136.00,1,-1,-1,-1
3,10,2582.94,946.00,25.10,75.00,1,-1,-1,-1
3,11,1936.00,954.00,22.00,54.00,1,-1,-1,-1
3,12,1765.66,957.05,26.29,46.95,1,-1,-1,-1
3,13,1498.00,955.00,30.00,95.00,1,-1,-1,-1
4,1,1116.73,959.47,14.54,39.53,1,-1,-1,-1
4,2,1256.00,950.00,15.00,45.00,1,-1,-1,-1
4,3,910.00,949.00,35.00,152.00,1,-1,-1,-1
4,4,741.70,954.71,24.60,89.29,1,-1,-1,-1
4,5,468.00,948.00,10.00,49.00,1,-1,-1,-1
4,6,46.30,951.29,6.39,22.71,1,-1,-1,-1
4,7,63.00,947.00,9.00,27.00,1,-1,-1,-1
4,8,31.00,949.00,10.00,25.00,1,-1,-1,-1
4,9,3584.02,946.47,47.82,137.53,1,-1,-1,-1
4,10,2582.87,946.00,25.17,75.00,1,-1,-1,-1
4,11,1935.70,952.47,22.59,55.53,1,-1,-1,-1
4,12,1766.46,957.13,26.30,46.87,1,-1,-1,-1
4,13,1498.00,955.00,30.00,95.00,1,-1,-1,-1
5,1,1116.66,958.98,14.68,40.02,1,-1,-1,-1
5,2,1256.78,950.00,14.91,45.00,1,-1,-1,-1
5,3,910.00,949.00,35.00,152.00,1,-1,-1,-1
5,4,741.62,953.98,24.77,90.02,1,-1,-1,-1
5,5,468.00,948.00,10.00,49.00,1,-1,-1,-1
5,6,47.48,952.02,6.36,21.98,1,-1,-1,-1
5,7,63.00,947.00,9.00,27.00,1,-1,-1,-1
5,8,31.00,949.00,10.00,25.00,1,-1,-1,-1
5,9,3583.33,945.98,48.21,138.02,1,-1,-1,-1
5,10,2582.83,946.00,25.25,75.00,1,-1,-1,-1
5,11,1935.90,953.44,22.20,54.56,1,-1,-1,-1
5,12,1766.71,957.13,26.38,46.87,1,-1,-1,-1
5,13,1498.00,955.00,30.00,95.00,1,-1,-1,-1
6,1,1116.65,958.84,14.70,40.16,1,-1,-1,-1
6,2,1257.08,950.00,14.81,45.00,1,-1,-1,-1
6,3,910.00,949.00,35.00,152.00,1,-1,-1,-1
6,4,741.61,953.77,24.79,90.23,1,-1,-1,-1
6,5,468.00,948.00,10.00,49.00,1,-1,-1,-1
6,6,47.76,952.21,6.49,21.79,1,-1,-1,-1
6,7,63.00,947.00,9.00,27.00,1,-1,-1,-1
6,8,31.00,949.00,10.00,25.00,1,-1,-1,-1
6,9,3583.28,947.27,48.05,136.73,1,-1,-1,-1
6,10,2582.79,946.00,25.34,75.00,1,-1,-1,-1
6,11,1935.97,953.81,22.05,54.19,1,-1,-1,-1
6,12,1766.75,957.11,26.47,46.89,1,-1,-1,-1
6,13,1498.00,955.00,30.00,95.00,1,-1,-1,-1
7,1,1116.66,958.82,14.67,40.18,1,-1,-1,-1
7,2,1257.21,950.00,14.70,45.00,1,-1,-1,-1
7,3,910.00,949.00,35.00,152.00,1,-1,-1,-1
7,4,741.62,953.73,24.75,90.27,1,-1,-1,-1
7,5,468.00,948.00,10.00,49.00,1,-1,-1,-1
7,6,47.76,952.23,6.68,21.77,1,-1,-1,-1
7,7,63.76,947.00,8.88,27.00,1,-1,-1,-1
7,8,31.00,949.00,10.00,25.00,1,-1,-1,-1
7,9,3582.75,946.35,49.09,139.06,1,-1,-1,-1
7,10,2582.75,946.00,25.44,75.00,1,-1,-1,-1
7,11,1936.00,953.94,22.00,54.06,1,-1,-1,-1
7,12,1766.73,957.09,26.57,46.91,1,-1,-1,-1
7,13,1498.00,955.00,30.00,95.00,1,-1,-1,-1
8,1,1116.69,958.83,14.63,40.17,1,-1,-1,-1
8,2,1257.28,950.00,14.59,45.00,1,-1,-1,-1
8,3,910.22,951.07,34.57,149.93,1,-1,-1,-1
8,4,740.90,953.75,24.83,90.25,1,-1,-1,-1
